Ημερομηνία	Απασχολούμενοι	Άνεργοι	Μη ενεργοί	Ποσοστό ανεργίας	Απασχολούμενοι	Άνεργοι	Μη ενεργοί	Ποσοστό ανεργίας
Σεπτέμβριος 2011	3,999.6	879.6	3,418.8	18.0	3,980.1	937.6	3,380.6	19.1
Οκτώβριος 2011	3,990.3	943.9	3,357.3	19.1	3,923.4	988.3	3,383.6	20.1
Νοέμβριος 2011	3,825.8	1,066.2	3,401.7	21.8	3,890.1	1,010.4	3,391.5	20.6
Δεκέμβριος 2011	3,814.7	1,075.8	3,400.7	22.0	3,870.6	1,042.2	3,376.2	21.2
Ιανουάριος 2012	3,837.1	1,107.1	3,339.8	22.4	3,866.8	1,057.8	3,359.6	21.5
Φεβρουάριος 2012	3,746.9	1,119.8	3,410.3	23.0	3,804.5	1,088.7	3,383.9	22.2
Μάρτιος 2012	3,745.6	1,130.4	3,394.4	23.2	3,767.4	1,116.1	3,386.5	22.9
Απρίλιος 2012	3,769.1	1,143.4	3,350.3	23.3	3,745.2	1,149.1	3,369.3	23.5
Μάιος 2012	3,733.2	1,151.8	3,371.2	23.6	3,731.3	1,175.8	3,349.5	24.0
Ιούνιος 2012	3,665.4	1,193.9	3,391.3	24.6	3,637.2	1,210.9	3,401.2	25.0
Ιούλιος 2012	3,742.5	1,182.6	3,317.5	24.0	3,667.1	1,227.9	3,348.5	25.1
Αύγουστος 2012	3,650.1	1,206.1	3,379.7	24.8	3,651.3	1,246.0	3,338.8	25.4
Σεπτέμβριος 2012	3,586.9	1,266.4	3,376.7	26.1	3,566.3	1,262.9	3,399.8	26.2
Οκτώβριος 2012	3,669.7	1,259.2	3,294.3	25.5	3,634.4	1,266.0	3,322.7	25.8
Νοέμβριος 2012	3,554.3	1,306.7	3,354.9	26.9	3,589.5	1,286.5	3,340.0	26.4
Δεκέμβριος 2012	3,547.0	1,273.9	3,388.7	26.4	3,569.7	1,283.6	3,356.1	26.4
Ιανουάριος 2013	3,530.6	1,362.3	3,311.7	27.8	3,562.4	1,296.7	3,345.4	26.7
Φεβρουάριος 2013	3,477.4	1,342.9	3,380.1	27.9	3,538.4	1,298.0	3,364.0	26.8
Μάρτιος 2013	3,491.0	1,302.8	3,402.9	27.2	3,501.4	1,318.2	3,377.0	27.4
Απρίλιος 2013	3,541.4	1,364.4	3,286.6	27.8	3,516.0	1,340.4	3,336.5	27.6
Μάιος 2013	3,513.1	1,346.6	3,329.5	27.7	3,529.3	1,346.1	3,313.8	27.6
Ιούνιος 2013	3,535.5	1,272.7	3,377.7	26.5	3,492.2	1,342.6	3,350.8	27.8
Ιούλιος 2013	3,525.3	1,304.2	3,351.9	27.0	3,470.6	1,343.4	3,367.7	27.9
Αύγουστος 2013	3,527.4	1,344.5	3,306.5	27.6	3,534.1	1,338.8	3,305.0	27.5
Σεπτέμβριος 2013	3,531.8	1,312.2	3,330.1	27.1	3,490.8	1,347.3	3,336.1	27.8
Οκτώβριος 2013	3,511.6	1,311.2	3,336.8	27.2	3,485.9	1,334.6	3,350.3	27.7
Νοέμβριος 2013	3,438.6	1,384.9	3,349.1	28.7	3,492.5	1,331.5	3,342.8	27.6
Δεκέμβριος 2013	3,470.4	1,315.5	3,382.7	27.5	3,488.2	1,318.8	3,356.0	27.4
Ιανουάριος 2014	3,488.8	1,316.7	3,353.1	27.4	3,512.6	1,311.8	3,334.8	27.2
Φεβρουάριος 2014	3,442.9	1,366.7	3,345.4	28.4	3,492.5	1,308.7	3,353.3	27.3
Μάρτιος 2014	3,495.6	1,343.4	3,311.3	27.8	3,520.9	1,301.7	3,327.6	27.0
Απρίλιος 2014	3,478.9	1,299.8	3,367.1	27.2	3,483.5	1,304.4	3,357.8	27.2
Μάιος 2014	3,519.7	1,307.2	3,314.4	27.1	3,518.9	1,303.1	3,319.4	27.0
